names,places,popularity,scores,links,imgs
简阳白塔园,简阳,4.2,3.7,https://you.ctrip.com/sight/jianyang3122/128166.html,https://dimg04.c-ctrip.com/images/0101k120009dbiuuh1C81_C_220_140.jpg
玉林西路,简阳,6.0,4.7,https://you.ctrip.com/sight/chengdu104/5069353.html,https://dimg04.c-ctrip.com/images/0106d120008g2sssiE15F_C_220_140.jpg
成都松鼠部落,简阳,5.2,4.3,https://you.ctrip.com/sight/chengdu104/1976052.html,https://dimg04.c-ctrip.com/images/1lo0a12000b9zi0wi0EA7_C_220_140.png
洛带博客楼,简阳,4.9,4.7,https://you.ctrip.com/sight/chengdu104/5717946.html,https://dimg04.c-ctrip.com/images/010241200090qgsxqB8CB_C_220_140.jpg
成都自然博物馆,简阳,5.6,4,https://you.ctrip.com/sight/chengdu104/2571169.html,https://dimg04.c-ctrip.com/images/0100v12000a3asddn275F_C_220_140.jpg
成都city tour观光巴士,简阳,6.1,4.7,https://you.ctrip.com/sight/chengdu104/5630409.html,https://dimg04.c-ctrip.com/images/350e180000013qzxeD898_C_220_140.jpg
五凤溪古镇,简阳,4.4,4.3,https://you.ctrip.com/sight/jintang3131/69609.html,https://dimg04.c-ctrip.com/images/0102j12000av8oqde6CAE_C_220_140.jpg
金龙长城,简阳,4.9,4.1,https://you.ctrip.com/sight/chengdu104/1461183.html,https://dimg04.c-ctrip.com/images/350l190000017bhjuB1B7_C_220_140.jpg
四川省川剧院,简阳,5.9,4.6,https://you.ctrip.com/sight/chengdu104/147145.html,https://dimg04.c-ctrip.com/images/1lo6x12000bd3u61vD1CD_C_220_140.jpg
大慈寺,简阳,5.8,4.6,https://you.ctrip.com/sight/chengdu104/4344.html,https://dimg04.c-ctrip.com/images/100w15000000y77irE456_C_220_140.jpg
南湖梦幻岛,简阳,5.5,4.5,https://you.ctrip.com/sight/chengdu104/85925.html,https://dimg04.c-ctrip.com/images/0105w120008gy5kjpDDCC_C_220_140.jpg
联华梨园社·春熙剧场川剧变脸秀,简阳,5.8,4.9,https://you.ctrip.com/sight/chengdu104/4380352.html,https://dimg04.c-ctrip.com/images/1lo3212000badg8ndDAF6_C_220_140.jpg
