names,places,links,imgs,scores,address,ranks
看步（暹罗中央世界）,曼谷,https://you.ctrip.com/shopping/bangkok191/778491.html,https://dimg04.c-ctrip.com/images/0106r120008kx3j1i7205_C_220_140.jpg,4.8,"""2 Floor, Central World,4 Rajdam Road, Pathumwan – 10330 - Bangkok""",45
爱雍·乌节,新加坡,https://you.ctrip.com/shopping/singapore53/1355920.html,https://dimg04.c-ctrip.com/images/100a0y000000mhi66AFFB_C_220_140.jpg,4.7,2 Orchard Turn Singapore 238801,1
滨海湾金沙购物广场,新加坡,https://you.ctrip.com/shopping/singapore53/108082.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M07/46/9D/CggYs1b7PgKAUyKHABeNqDT3_A0898_C_220_140.jpg,4.7,"10 Bayfront Ave, Singapore 018956",2
VivoCity,新加坡,https://you.ctrip.com/shopping/singapore53/108132.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M0A/32/C5/CggYtFb7PYSARSXIABKUxOZQuP8102_C_220_140.jpg,4.6,"1 Harbourfront Walk, Singapore 098585",3
乌节路,新加坡,https://you.ctrip.com/shopping/singapore53/1355874.html,https://dimg04.c-ctrip.com/images/10010d0000006ttka3549_C_220_140.jpg,4.7,"Orchard Rd, singapore",4
牛车水,新加坡,https://you.ctrip.com/shopping/singapore53/1355887.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M07/3C/6E/CggYGlYfbm2AdgnqACfSkAxO8fE178_C_220_140.jpg,4.5,No 2 Banda Street Singapore 059962,5
义安城,新加坡,https://you.ctrip.com/shopping/singapore53/108133.html,https://dimg04.c-ctrip.com/images/fd/tg/g5/M06/3F/B9/CggYsFb7QxaAXt5eABTbfdGDqm0995_C_220_140.jpg,4.5,"391 Orchard Rd, Singapore 238873",6
牛车水夜市,新加坡,https://you.ctrip.com/shopping/singapore53/1447433.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M09/C8/33/CggYGVZeuyaAV48jAAEgpW0WyxY603_C_220_140.jpg,4.6,"Chinatown, Pagoda Street, Trengganu Street, Sago Street, 050005,, Smith St, Singapore",7
哈芝巷,新加坡,https://you.ctrip.com/shopping/singapore53/108091.html,https://dimg04.c-ctrip.com/images/100b1e000001f37mp64D0_C_220_140.jpg,4.9,"21A Haji Lane | 21A Haji Lane, Singapore 189214, Singapore",8
武吉士街,新加坡,https://you.ctrip.com/shopping/singapore53/1355883.html,https://dimg04.c-ctrip.com/images/fd/tg/g6/M04/34/D6/CggYtFb7QpeAAS8JABMBOfiH-4c632_C_220_140.jpg,4.5,"3 New Bugis Street, #03-01, Singapore 188867",9
圣淘沙名胜世界,新加坡,https://you.ctrip.com/shopping/singapore53/108109.html,https://dimg04.c-ctrip.com/images/01042120009xiqr8s91B5_C_220_140.png,4.7,"8 Sentosa Gateway, Resorts World Sentosa, Singapore 098269",10
新罗免税店（樟宜机场T2离境转机...,新加坡,https://you.ctrip.com/shopping/singapore53/1413463.html,https://dimg04.c-ctrip.com/images/100b0i0000009s950ABDE_C_220_140.jpg,4.4,樟宜机场2号航站离境转机大厅(中央),11
